Episode    2 finished with a total reward of -21.0 | Running Average: -21.00
Episode    3 finished with a total reward of -21.0 | Running Average: -21.00
Episode    4 finished with a total reward of -21.0 | Running Average: -21.00
Episode    5 finished with a total reward of -21.0 | Running Average: -21.00
Episode    6 finished with a total reward of -21.0 | Running Average: -21.00
Episode    7 finished with a total reward of -21.0 | Running Average: -21.00
Episode    8 finished with a total reward of -21.0 | Running Average: -21.00
Episode    9 finished with a total reward of -21.0 | Running Average: -21.00
Episode   10 finished with a total reward of -21.0 | Running Average: -21.00
Episode   11 finished with a total reward of -21.0 | Running Average: -21.00
Episode   12 finished with a total reward of -21.0 | Running Average: -21.00
Episode   13 finished with a total reward of -21.0 | Running Average: -21.00
Episode   14 finished with a total reward of -21.0 | Running Average: -21.00
Episode   15 finished with a total reward of -21.0 | Running Average: -21.00
Episode   16 finished with a total reward of -21.0 | Running Average: -21.00
Episode   17 finished with a total reward of -21.0 | Running Average: -21.00
Episode   18 finished with a total reward of -21.0 | Running Average: -21.00
Episode   19 finished with a total reward of -21.0 | Running Average: -21.00
Episode   20 finished with a total reward of -21.0 | Running Average: -21.00
Episode   21 finished with a total reward of -21.0 | Running Average: -21.00
Episode   22 finished with a total reward of -21.0 | Running Average: -21.00
Episode   23 finished with a total reward of -21.0 | Running Average: -21.00
Episode   24 finished with a total reward of -21.0 | Running Average: -21.00
Episode   25 finished with a total reward of -21.0 | Running Average: -21.00
Episode   26 finished with a total reward of -21.0 | Running Average: -21.00
Episode   27 finished with a total reward of -21.0 | Running Average: -21.00
Episode   28 finished with a total reward of -21.0 | Running Average: -21.00
Episode   29 finished with a total reward of -21.0 | Running Average: -21.00
Episode   30 finished with a total reward of -21.0 | Running Average: -21.00
Episode   31 finished with a total reward of -21.0 | Running Average: -21.00
Episode   32 finished with a total reward of -21.0 | Running Average: -21.00
Episode   33 finished with a total reward of -21.0 | Running Average: -21.00
Episode   34 finished with a total reward of -21.0 | Running Average: -21.00
Episode   35 finished with a total reward of -20.0 | Running Average: -21.00
Episode   36 finished with a total reward of -21.0 | Running Average: -20.90
Episode   37 finished with a total reward of -20.0 | Running Average: -20.90
Episode   38 finished with a total reward of -20.0 | Running Average: -20.80
Episode   39 finished with a total reward of -20.0 | Running Average: -20.70
Episode   40 finished with a total reward of -21.0 | Running Average: -20.60
Episode   41 finished with a total reward of -21.0 | Running Average: -20.60
Episode   42 finished with a total reward of -21.0 | Running Average: -20.60
Episode   43 finished with a total reward of -19.0 | Running Average: -20.60
Episode   44 finished with a total reward of -21.0 | Running Average: -20.40
Episode   45 finished with a total reward of -20.0 | Running Average: -20.40
Episode   46 finished with a total reward of -21.0 | Running Average: -20.40
Episode   47 finished with a total reward of -21.0 | Running Average: -20.40
Episode   48 finished with a total reward of -21.0 | Running Average: -20.50
Episode   49 finished with a total reward of -20.0 | Running Average: -20.60
Episode   50 finished with a total reward of -19.0 | Running Average: -20.60
Episode   51 finished with a total reward of -20.0 | Running Average: -20.40
Episode   52 finished with a total reward of -21.0 | Running Average: -20.30
Episode   53 finished with a total reward of -21.0 | Running Average: -20.30
Episode   54 finished with a total reward of -19.0 | Running Average: -20.50
Episode   55 finished with a total reward of -19.0 | Running Average: -20.30
Episode   56 finished with a total reward of -20.0 | Running Average: -20.20
Episode   57 finished with a total reward of -20.0 | Running Average: -20.10
Episode   58 finished with a total reward of -20.0 | Running Average: -20.00
Episode   59 finished with a total reward of -21.0 | Running Average: -19.90
Episode   60 finished with a total reward of -20.0 | Running Average: -20.00
Episode   61 finished with a total reward of -20.0 | Running Average: -20.10
Episode   62 finished with a total reward of -21.0 | Running Average: -20.10
Episode   63 finished with a total reward of -21.0 | Running Average: -20.10
Episode   64 finished with a total reward of -20.0 | Running Average: -20.10
Episode   65 finished with a total reward of -21.0 | Running Average: -20.20
Episode   66 finished with a total reward of -21.0 | Running Average: -20.40
Episode   67 finished with a total reward of -19.0 | Running Average: -20.50
Episode   68 finished with a total reward of -21.0 | Running Average: -20.40
Episode   69 finished with a total reward of -19.0 | Running Average: -20.50
Episode   70 finished with a total reward of -17.0 | Running Average: -20.30
Episode   71 finished with a total reward of -20.0 | Running Average: -20.00
Episode   72 finished with a total reward of -21.0 | Running Average: -20.00
Episode   73 finished with a total reward of -19.0 | Running Average: -20.00
Episode   74 finished with a total reward of -19.0 | Running Average: -19.80
Episode   75 finished with a total reward of -19.0 | Running Average: -19.70
Episode   76 finished with a total reward of -20.0 | Running Average: -19.50
Episode   77 finished with a total reward of -19.0 | Running Average: -19.40
Episode   78 finished with a total reward of -19.0 | Running Average: -19.40
Episode   79 finished with a total reward of -19.0 | Running Average: -19.20
Episode   80 finished with a total reward of -18.0 | Running Average: -19.20
Episode   81 finished with a total reward of -19.0 | Running Average: -19.30
Episode   82 finished with a total reward of -19.0 | Running Average: -19.20
Episode   83 finished with a total reward of -17.0 | Running Average: -19.00
Episode   84 finished with a total reward of -15.0 | Running Average: -18.80
Episode   85 finished with a total reward of -16.0 | Running Average: -18.40
Episode   86 finished with a total reward of -17.0 | Running Average: -18.10
Episode   87 finished with a total reward of -16.0 | Running Average: -17.80
Episode   88 finished with a total reward of -17.0 | Running Average: -17.50
Episode   89 finished with a total reward of -19.0 | Running Average: -17.30
Episode   90 finished with a total reward of -17.0 | Running Average: -17.30
Episode   91 finished with a total reward of -16.0 | Running Average: -17.20
Episode   92 finished with a total reward of -18.0 | Running Average: -16.90
Episode   93 finished with a total reward of -14.0 | Running Average: -16.80
Episode   94 finished with a total reward of -16.0 | Running Average: -16.50
Episode   95 finished with a total reward of -17.0 | Running Average: -16.60
Episode   96 finished with a total reward of -14.0 | Running Average: -16.70
Episode   97 finished with a total reward of -13.0 | Running Average: -16.40
Episode   98 finished with a total reward of -16.0 | Running Average: -16.10
Episode   99 finished with a total reward of -11.0 | Running Average: -16.00
Episode  100 finished with a total reward of -14.0 | Running Average: -15.20
Episode  101 finished with a total reward of -19.0 | Running Average: -14.90
Episode  102 finished with a total reward of -19.0 | Running Average: -15.20
Episode  103 finished with a total reward of -19.0 | Running Average: -15.30
Episode  104 finished with a total reward of -18.0 | Running Average: -15.80
Episode  105 finished with a total reward of -16.0 | Running Average: -16.00
Episode  106 finished with a total reward of -15.0 | Running Average: -15.90
Episode  107 finished with a total reward of -13.0 | Running Average: -16.00
Episode  108 finished with a total reward of -16.0 | Running Average: -16.00
Episode  109 finished with a total reward of -14.0 | Running Average: -16.00
Episode  110 finished with a total reward of -17.0 | Running Average: -16.30
Episode  111 finished with a total reward of -14.0 | Running Average: -16.60
Episode  112 finished with a total reward of -19.0 | Running Average: -16.10
Episode  113 finished with a total reward of -13.0 | Running Average: -16.10
Episode  114 finished with a total reward of -16.0 | Running Average: -15.50
Episode  115 finished with a total reward of -16.0 | Running Average: -15.30
Episode  116 finished with a total reward of -17.0 | Running Average: -15.30
Episode  117 finished with a total reward of -14.0 | Running Average: -15.50
Episode  118 finished with a total reward of -15.0 | Running Average: -15.60
Episode  119 finished with a total reward of -16.0 | Running Average: -15.50
Episode  120 finished with a total reward of -11.0 | Running Average: -15.70
Episode  121 finished with a total reward of -13.0 | Running Average: -15.10
Episode  122 finished with a total reward of -13.0 | Running Average: -15.00
Episode  123 finished with a total reward of -16.0 | Running Average: -14.40
Episode  124 finished with a total reward of -13.0 | Running Average: -14.70
Episode  125 finished with a total reward of -17.0 | Running Average: -14.40
Episode  126 finished with a total reward of -16.0 | Running Average: -14.50
Episode  127 finished with a total reward of -12.0 | Running Average: -14.40
Episode  128 finished with a total reward of -13.0 | Running Average: -14.20
Episode  129 finished with a total reward of -11.0 | Running Average: -14.00
Episode  130 finished with a total reward of -17.0 | Running Average: -13.50
Episode  131 finished with a total reward of -11.0 | Running Average: -14.10
Episode  132 finished with a total reward of -17.0 | Running Average: -13.90
Episode  133 finished with a total reward of -14.0 | Running Average: -14.30
Episode  134 finished with a total reward of -14.0 | Running Average: -14.10
Episode  135 finished with a total reward of -10.0 | Running Average: -14.20
Episode  136 finished with a total reward of -10.0 | Running Average: -13.50
Episode  137 finished with a total reward of -18.0 | Running Average: -12.90
Episode  138 finished with a total reward of -13.0 | Running Average: -13.50
Episode  139 finished with a total reward of -17.0 | Running Average: -13.50
Episode  140 finished with a total reward of -8.0 | Running Average: -14.10
Episode  141 finished with a total reward of -9.0 | Running Average: -13.20
Episode  142 finished with a total reward of -14.0 | Running Average: -13.00
Episode  143 finished with a total reward of -15.0 | Running Average: -12.70
Episode  144 finished with a total reward of -14.0 | Running Average: -12.80
Episode  145 finished with a total reward of -15.0 | Running Average: -12.80
Episode  146 finished with a total reward of -10.0 | Running Average: -13.30
Episode  147 finished with a total reward of -11.0 | Running Average: -13.30
Episode  148 finished with a total reward of -14.0 | Running Average: -12.60
Episode  149 finished with a total reward of -12.0 | Running Average: -12.70
Episode  150 finished with a total reward of -17.0 | Running Average: -12.20
Episode  151 finished with a total reward of -14.0 | Running Average: -13.10
Episode  152 finished with a total reward of -15.0 | Running Average: -13.60
Episode  153 finished with a total reward of -14.0 | Running Average: -13.70
Episode  154 finished with a total reward of -13.0 | Running Average: -13.60
Episode  155 finished with a total reward of -11.0 | Running Average: -13.50
Episode  156 finished with a total reward of -14.0 | Running Average: -13.10
Episode  157 finished with a total reward of -9.0 | Running Average: -13.50
Episode  158 finished with a total reward of -11.0 | Running Average: -13.30
Episode  159 finished with a total reward of -10.0 | Running Average: -13.00
Episode  160 finished with a total reward of -15.0 | Running Average: -12.80
Episode  161 finished with a total reward of -13.0 | Running Average: -12.60
Episode  162 finished with a total reward of -14.0 | Running Average: -12.50
Episode  163 finished with a total reward of -11.0 | Running Average: -12.40
Episode  164 finished with a total reward of -14.0 | Running Average: -12.10
Episode  165 finished with a total reward of -15.0 | Running Average: -12.20
Episode  166 finished with a total reward of -17.0 | Running Average: -12.60
Episode  167 finished with a total reward of -17.0 | Running Average: -12.90
Episode  168 finished with a total reward of -15.0 | Running Average: -13.70
Episode  169 finished with a total reward of -13.0 | Running Average: -14.10
Episode  170 finished with a total reward of -14.0 | Running Average: -14.40
Episode  171 finished with a total reward of -15.0 | Running Average: -14.30
Episode  172 finished with a total reward of -17.0 | Running Average: -14.50
Episode  173 finished with a total reward of -14.0 | Running Average: -14.80
Episode  174 finished with a total reward of -17.0 | Running Average: -15.10
Episode  175 finished with a total reward of -11.0 | Running Average: -15.40
Episode  176 finished with a total reward of -11.0 | Running Average: -15.00
Episode  177 finished with a total reward of -12.0 | Running Average: -14.40
Episode  178 finished with a total reward of -8.0 | Running Average: -13.90
Episode  179 finished with a total reward of -17.0 | Running Average: -13.20
Episode  180 finished with a total reward of -6.0 | Running Average: -13.60
Episode  181 finished with a total reward of -12.0 | Running Average: -12.80
Episode  182 finished with a total reward of -8.0 | Running Average: -12.50
Episode  183 finished with a total reward of -15.0 | Running Average: -11.60
Episode  184 finished with a total reward of -12.0 | Running Average: -11.70
Episode  185 finished with a total reward of -17.0 | Running Average: -11.20
Episode  186 finished with a total reward of -12.0 | Running Average: -11.80
Episode  187 finished with a total reward of -10.0 | Running Average: -11.90
Episode  188 finished with a total reward of -14.0 | Running Average: -11.70
Episode  189 finished with a total reward of -7.0 | Running Average: -12.30
Episode  190 finished with a total reward of -7.0 | Running Average: -11.30
Episode  191 finished with a total reward of -14.0 | Running Average: -11.40
Episode  192 finished with a total reward of -10.0 | Running Average: -11.60
Episode  193 finished with a total reward of -14.0 | Running Average: -11.80
Episode  194 finished with a total reward of -14.0 | Running Average: -11.70
